iata,city,state,longitude,latitude,passengers,airport_id
EUG,Eugene,OR,-123.21197222210769,44.124583333075364,562493.0,116
FAI,Fairbanks,AK,-147.85644444390996,64.81511111100465,556005.0,117
ACY,Atlantic City,NJ,-74.5771666672198,39.45758333310054,535764.0,118
FSD,Sioux Falls,SD,-96.74191638909949,43.582013333052366,527527.0,119
SGF,Springfield,MO,-93.38863888899652,37.245666667019584,521095.0,120
CHA,Chattanooga,TN,-85.20355555626666,35.035194444164645,508241.0,122
LBB,Lubbock,TX,-101.82055555616043,33.66366666698694,494232.0,123
MFR,Medford,OR,-122.87350000011408,42.37422222195619,491840.0,124
JAN,Jackson,MS,-90.07588888922487,32.311166667022626,488104.0,125
ILM,Wilmington,NC,-77.90288888856477,34.27113888868046,469187.0,126
CAK,Akron,OH,-81.44363888922697,40.91505555586231,446256.0,127
JNU,Juneau,AK,-134.57847052786943,58.354711806126005,445890.0,128
BIL,Billings,MT,-108.54354355643629,45.80784913926959,440611.0,129
EYW,Key West,FL,-81.75995583290928,24.55611972205631,432179.0,130
RDM,Redmond,OR,-121.14997138861249,44.254068888805435,430651.0,131
FAR,Fargo,ND,-96.81575000027959,46.92063888911792,427526.0,132
MSO,Missoula,MT,-114.09055555585975,46.91630555618439,424118.0,133
STT,Charlotte Amalie,VI,-64.97333333325881,18.337305555753137,409803.0,134
TTN,Trenton,NJ,-74.81347222173268,40.27669444424771,404455.0,135
SBA,Santa Barbara,CA,-119.841492693983,34.42619136073335,400966.0,136
PSC,Pasco,WA,-119.1190277776697,46.26469444374477,395312.0,137
BTR,Baton Rouge,LA,-91.14988888911728,30.532916666971197,388734.0,138
TLH,Tallahassee,FL,-84.35086888905694,30.396754166935292,386266.0,139
JAC,Jackson,WY,-110.73775000006441,43.60733333312048,380029.0,140
ABE,Allentown,PA,-75.44041666697458,40.65236111115039,378615.0,141
FWA,Fort Wayne,IN,-85.19516666683369,40.97847222212997,371382.0,142
AMA,Amarillo,TX,-101.70591666669857,35.21936111080778,368753.0,143
DAB,Daytona Beach,FL,-81.05805555611859,29.17991666672661,365171.0,144
SBN,South Bend,IN,-86.317333333334,41.708222221989466,361748.0,145
BLI,Bellingham,WA,-122.53752777787805,48.792694443913184,360931.0,146
FNT,Flint,MI,-83.74474999991018,42.96547222222523,360528.0,147
MLI,Moline,IL,-90.50752777795488,41.44827777804839,354158.0,148
CHO,Charlottesville,VA,-78.45233333323604,38.13963888872289,350759.0,149
ATW,Appleton,WI,-88.51908333284806,44.25808333324359,346820.0,150
MFE,McAllen,TX,-98.23861111086573,26.17583333277687,338953.0,151
CRP,Corpus Christi,TX,-97.50241666714346,27.77219444416981,334349.0,152
PIA,Peoria,IL,-89.69325000005581,40.664194443902005,328047.0,153
ROA,Roanoke,VA,-79.97541666744623,37.32547222208076,327802.0,154
GRB,Green Bay,WI,-88.1297133331192,44.48463361118606,310002.0,155
BGR,Bangor,ME,-68.82813888924983,44.80744444404519,307718.0,156
RAP,Rapid City,SD,-103.0573611112243,44.04533333270327,304738.0,157
AGS,Augusta,GA,-81.96449999977298,33.36994444433138,302259.0,158
HRL,Harlingen,TX,-97.6551388892705,26.227111111362706,300084.0,159
SHV,Shreveport,LA,-93.82561111060268,32.44661111136223,299068.0,160
MOB,Mobile,AL,-88.24283333313234,30.69141666664625,297801.0,161
BQN,Aguadilla,PR,-67.12944444362785,18.494861110815364,294227.0,162
ASE,Aspen,CO,-106.86822222168163,39.22188888933064,283589.0,163
BIS,Bismarck,ND,-100.7457500001218,46.77272222222516,283164.0,164
GPT,Gulfport-Biloxi,MS,-89.0700833326047,30.40727777795795,272886.0,165
AVP,Wilkes-Barre/Scranton,PA,-75.72338888931881,41.33847222221178,257794.0,166
TVC,Traverse City,MI,-85.58186111084565,44.74158333301129,246653.0,167
SBP,San Luis Obispo,CA,-120.64261111057378,35.237277777789714,234727.0,168
FAY,Fayetteville,NC,-78.88027777818925,34.99122222223759,234454.0,169
GJT,Grand Junction,CO,-108.52674999956068,39.12241666723601,233862.0,170
MLB,Melbourne,FL,-80.6452500000337,28.102750000370804,231414.0,171
GNV,Gainesville,FL,-82.27177777796119,29.690055556295466,231160.0,172
EVV,Evansville,IN,-87.52850000000858,38.04080555598372,228342.0,173
KTN,Ketchikan,AK,-131.71122222188558,55.35408333285999,228120.0,174
LFT,Lafayette,LA,-91.98774999982979,30.20502777821331,222769.0,175
STS,Santa Rosa,CA,-122.8128888892303,38.50969444365965,218172.0,176
CRW,Charleston,WV,-81.5928928894169,38.376012639202536,216303.0,177
STX,Christiansted,VI,-64.8019429166836,17.70150444417683,209488.0,178
TRI,Bristol,TN,-82.40741527766947,36.47520777792507,201589.0,179
PHF,Newport News,VA,-76.49297222184676,37.13188888913016,195111.0,180
DRO,Durango,CO,-107.7537777780133,37.151527777752044,189485.0,181
SWF,Newburgh,NY,-74.10483333255114,41.50411111100853,187037.0,182
MRY,Monterey,CA,-121.84278305573747,36.58695222211306,185738.0,183
RST,Rochester,MN,-92.50002777790456,43.90827777799141,183300.0,184
BMI,Bloomington,IL,-88.91591666711149,40.47711111078911,178619.0,185
GTF,Great Falls,MT,-111.37027941695476,47.48229927791482,175834.0,186
EGE,Eagle,CO,-106.91594444410772,39.6427499999181,171977.0,187
MGM,Montgomery,AL,-86.393972222348,32.300638888933435,171209.0,188
LAN,Lansing,MI,-84.58619444357862,42.778638888961225,165887.0,189
IDA,Idaho Falls,ID,-112.07074999981796,43.513722221771744,161483.0,190
GUM,Agana,GU,144.7971271107716,13.483950666758506,161151.0,191
BET,Bethel,AK,-161.83716666703066,60.77855555582736,154967.0,192
BLV,Belleville/St. Louis,IL,-89.83519444381315,38.54516666681109,152055.0,193
LCK,Columbus,OH,-82.92780555602225,39.81377777781385,151742.0,194
AZO,Kalamazoo,MI,-85.55155555630206,42.23438888888122,150720.0,195
OAJ,Jacksonville,NC,-77.61213888899725,34.829166667321786,150673.0,196
LBE,Latrobe,PA,-79.41032555580237,40.27310050002264,149689.0,197
MOT,Minot,ND,-101.27802777805412,48.25763888888441,148025.0,198
LNK,Lincoln,NE,-96.75911111112309,40.850888889257476,146669.0,199
ELM,Elmira,NY,-76.8917456673922,42.1598561389656,140933.0,200
DLH,Duluth,MN,-92.19364861144454,46.84209027782783,135644.0,201
MTJ,Montrose,CO,-107.89424999980095,38.50980555568627,134143.0,202
GRK,Killeen,TX,-97.82891666674816,31.06724999990006,131046.0,203
SIT,Sitka,AK,-135.36106869355615,57.046834361182356,127522.0,204
MBS,Saginaw,MI,-84.07963888894788,43.53291666724781,126196.0,205
SGU,St George,UT,-113.5103055561544,37.03638888928981,122918.0,206
ACK,Nantucket,MA,-70.05991141733871,41.252975055932225,122219.0,207
CWA,Mosinee,WI,-89.66677802844512,44.77762366680597,122034.0,208
