fipstate,naics,emp,ap,est
1,532292,80,3651,21
1,532299,281,9513,64
1,532310,36,1174,35
1,532411,9,467,8
1,532412,713,42310,75
1,532420,0,0,3
1,532490,987,65167,110
1,533110,60,5283,24
1,54----,100289,6884283,9404
1,541110,12497,931860,2429
1,541191,536,30060,124
1,541199,5,127,16
1,541211,5582,346715,728
1,541213,2242,17839,436
1,541214,814,42314,57
1,541219,1741,66711,407
1,541310,1060,78709,186
1,541320,50,2530,29
1,541330,23357,2066768,890
1,541340,72,3189,42
1,541350,60,2264,52
1,541360,0,0,6
1,541370,435,20335,109
1,541380,1010,50715,83
1,541410,259,12377,117
1,541420,0,0,4
1,541430,144,5508,74
1,541490,0,0,7
1,541511,5167,454865,376
1,541512,10522,870738,609
1,541513,357,26108,74
1,541519,489,34074,56
1,541611,3285,221688,530
1,541612,104,7994,54
1,541613,713,29031,199
1,541614,743,48504,90
1,541618,80,5127,39
1,541620,652,38257,99
1,541690,368,18705,156
1,541711,264,20073,22
1,541712,9021,681316,208
1,541720,0,0,9
1,541810,931,62085,113
1,541820,64,5078,42
1,541830,0,0,4
1,541840,21,1085,17
1,541850,0,0,21
1,541860,91,5311,18
1,541870,0,0,2
1,541890,807,13848,85
1,541910,89,3520,16
1,541921,396,6499,114
1,541922,15,931,19
1,541930,20,639,14
1,541940,5200,152630,534
1,541990,300,12114,88
1,55----,16935,1595732,652
1,551111,0,0,13
1,551112,558,38234,63
1,551114,16127,1542368,576
1,56----,150688,4194187,4424
1,561110,4540,211460,226
1,561210,2055,105442,75
1,561311,965,24603,53
1,561312,31,2705,21
1,561320,54360,1332047,524
1,561330,28057,778824,43
1,561410,134,3239,25
1,561421,88,2779,22
1,561422,3003,69207,38
1,561431,227,5183,68
1,561439,268,9365,46
1,561440,1221,42823,43
1,561450,0,0,3
1,561491,20,693,25
1,561492,75,3003,33
1,561499,125,3056,34
1,561510,297,14160,69
1,561520,0,0,6
1,561591,0,0,10
1,561599,135,5945,24
1,561611,174,8052,47
1,561612,7074,139582,106
1,561613,0,0,11
1,561621,961,50104,114
1,561622,96,2863,46
1,561710,2774,109254,296
1,561720,11202,195062,641
1,561730,6731,213313,1112
1,561740,405,11279,75
1,561790,447,15249,117
1,561910,0,0,8
1,561920,97,3617,21
1,561990,1233,45074,127
1,562111,879,49081,114
1,562112,0,0,6
1,562119,0,0,12
1,562211,64,2498,17
1,562212,322,16816,39
1,562213,0,0,1
1,562219,0,0,9
1,562910,562,25215,44
1,562920,35,831,14
1,562991,114,4350,45
1,562998,313,14235,14
1,61----,23608,690279,866
1,611110,8314,219181,218
1,611210,0,0,10
1,611310,7187,235746,49
1,611420,0,0,3
1,611430,245,18369,47
1,611511,0,0,13
1,611512,201,12327,17
1,611513,44,1430,15
1,611519,206,8505,41
1,611610,783,8892,151
1,611620,838,12405,148
1,611691,440,4803,70
1,611692,0,0,3
1,611699,63,1350,32
1,611710,158,4564,49
1,62----,245666,11237284,10639
1,621111,35380,2839353,2894
1,621112,380,17551,119
1,621210,10970,514152,1492
1,621310,1316,42660,402
1,621320,1859,67254,357
1,621330,373,13154,158
1,621340,3523,155860,536
1,621391,323,13286,90
1,621399,400,18130,122
1,621410,46,1016,27
1,621420,1176,54607,111
1,621492,674,29778,186
1,621493,2594,133221,124
1,621498,1344,69953,156
1,621511,2290,123315,157
1,621512,706,60983,82
1,621610,11822,456228,404
1,621910,2114,76066,108
1,621991,482,20455,28
1,621999,229,11358,62
1,622110,31270,1851983,100
1,622210,1466,94165,8
1,622310,695,32420,17
1,623110,17913,510917,217
1,623210,4039,76706,288
1,623220,1529,40692,96
1,623311,2734,64892,68
1,623312,2400,46511,153
1,623990,1119,27055,94
1,624110,880,23742,146
1,624120,7039,118303,278
1,624190,3237,91759,366
1,624210,93,2897,39
1,624221,617,15965,57
1,624229,301,9843,54
1,624230,0,0,16
1,624310,648,12918,63
1,624410,10263,155203,964
1,71----,16581,309715,1146
1,711110,123,3177,22
1,711120,0,0,4
1,711130,205,5331,35
1,711190,0,0,3
1,711211,35,705,4
1,711212,0,0,6
1,711219,13,2229,19
1,711310,872,10601,21
1,711320,177,8670,40
1,711410,5,765,10
1,711510,151,4372,70
1,712110,362,9209,51
1,712120,30,970,15
1,712130,169,6199,14
1,712190,0,0,6
1,713110,0,0,6
1,713120,592,7283,47
1,713290,14,507,11
1,713910,3307,79719,133
1,713930,230,6868,57
1,713940,5362,65604,377
1,713950,202,3093,33
1,713990,592,12453,162
1,72----,178396,2669036,8819
1,721110,14700,287176,819
1,721120,0,0,2
1,721191,0,0,10
1,721199,0,0,2
